,freesound_id,license,name,path,tags,username
24,456803,http://creativecommons.org/publicdomain/zero/1.0/,Chicken clucking,Input/Sounds/456803_9159316-hq.ogg,"['hen', 'chicken', 'clucking', 'rooster', 'crowing', 'cluck', 'sound']",Breviceps
25,166487,http://creativecommons.org/publicdomain/zero/1.0/,Chicken Carcass Mangling 2.wav,Input/Sounds/166487_544580-hq.ogg,"['squish', 'flesh', 'horror', 'carcass', 'zombie', 'squelch', 'crack', 'snap', 'chicken', 'bone']",lolamadeus
26,118960,http://creativecommons.org/publicdomain/zero/1.0/,Chickens.wav,Input/Sounds/118960_1990695-hq.ogg,"['animal', 'chicken', 'chickens', 'clucking']",esperri
27,170808,http://creativecommons.org/publicdomain/zero/1.0/,Chicken imitation,Input/Sounds/170808_377731-hq.ogg,"['imitate', 'cluck', 'vocal', 'clucking', 'imitation', 'chicken', 'male', 'man']",esperar
28,413824,http://creativecommons.org/publicdomain/zero/1.0/,Chicken Scream - Harsh,Input/Sounds/413824_8126390-hq.ogg,"['creature', 'scream', 'chicken', 'sound-effect', 'vocalization', 'hen']",Henlord
29,448118,http://creativecommons.org/publicdomain/zero/1.0/,Chicken sounds 1,Input/Sounds/448118_6405049-hq.ogg,"['birds', 'clucking', 'Chicken']",indirect
30,40726,http://creativecommons.org/licenses/sampling+/1.0/,hens.wav,Input/Sounds/40726_419782-hq.ogg,"['chicken', 'hens', 'nagging']",pionium
31,455905,http://creativecommons.org/publicdomain/zero/1.0/,chicken.wav,Input/Sounds/455905_2468652-hq.ogg,"['hen', 'clucking', 'chicken']",JhennaSide
32,388362,http://creativecommons.org/licenses/by/3.0/,Chicken 1.wav,Input/Sounds/388362_5895138-hq.ogg,"['chickens', 'chicken', 'farm']",itsadequate
33,391303,http://creativecommons.org/publicdomain/zero/1.0/,Chicken.aif,Input/Sounds/391303_7361845-hq.ogg,"['sound-of-a-chicken', 'chicken', 'sound', '5maudio17', 'uam']",fernandesbljr
34,269277,http://creativecommons.org/licenses/by-nc/3.0/,Chicken chic chirping.wav,Input/Sounds/269277_3748023-hq.ogg,"['Chic', 'Chicken', 'Chirping']",CelestialElf
35,424076,http://creativecommons.org/publicdomain/zero/1.0/,chicken sound - clucking.wav,Input/Sounds/424076_7388661-hq.ogg,"['hen', 'hens', 'morning', 'chicken', 'cock', 'village', 'animal', 'birds', 'clucking', 'rural', 'wake-up', 'rooster', 'chickens', 'cluck', 'farm', 'get', 'wake', 'field-recording', 'countryside']",chanyatenn
36,194526,http://creativecommons.org/licenses/by/3.0/,handling_raw_chicken1.flac,Input/Sounds/194526_93137-hq.ogg,"['squishing', 'meat', 'juicy', 'raw', 'chicken', 'sloshing']",wjoojoo
37,24967,http://creativecommons.org/licenses/by/3.0/,ChickenLayingAnEgg_01.wav,Input/Sounds/24967_32482-hq.ogg,"['chicken', 'egg', 'environmental-sounds-research', 'field-recording', 'laying']",www.bonson.ca
38,444475,http://creativecommons.org/publicdomain/zero/1.0/,Pan Frying Chicken,Input/Sounds/444475_9039079-hq.ogg,"['kitchen', 'pan', 'fry', 'chicken', 'frying', 'cook', 'sizzling', 'cooking', 'stove', 'food', 'sizzle']",parkersenk
39,164781,http://creativecommons.org/licenses/by/3.0/,Chicken.wav,Input/Sounds/164781_719027-hq.ogg,"['Chicken', 'Animals', 'Bioscience', 'Campus-Gutenberg']",ariat
40,415878,http://creativecommons.org/licenses/by/3.0/,Alien Lion,Input/Sounds/415878_4005559-hq.ogg,"['creature', 'serum', 'synth', 'sound-effect', 'sound-design', 'lion', 'beast', 'roar', 'animals', 'alien']",erlipresidente
41,393364,http://creativecommons.org/licenses/by/3.0/,shizi_1.wav,Input/Sounds/393364_7175897-hq.ogg,"['chinese', 'female', 'voice', 'lion', 'talk']",rebecca.valdez3@gmail.com
42,223978,http://creativecommons.org/publicdomain/zero/1.0/,Lion lament,Input/Sounds/223978_639300-hq.ogg,"['zoo', 'growling', 'lion', 'animal']",roman_cgr
43,67894,http://creativecommons.org/publicdomain/zero/1.0/,Lion.mp3,Input/Sounds/67894_706955-hq.ogg,"['africa', 'birds', 'cat', 'field-recording', 'lion']",Bidone
44,69571,http://creativecommons.org/publicdomain/zero/1.0/,Lions two.mp3,Input/Sounds/69571_706955-hq.ogg,"['animal', 'bellow', 'field-recording', 'lion', 'lions', 'roar']",Bidone
45,212764,http://creativecommons.org/licenses/by/3.0/,Lion Roar,Input/Sounds/212764_71257-hq.ogg,"['exotic', 'scary', 'growl', 'scare', 'monster', 'growling', 'roar', 'angry', 'feline', 'cat', 'beast', 'lion', 'horror', 'jungle', 'animal', 'fake', 'scream', 'creature']",qubodup
46,97380,http://creativecommons.org/licenses/by/3.0/,african_lion.wav,Input/Sounds/97380_1578278-hq.ogg,"['africa', 'field-recording', 'lion', 'roaring', 'zoo']",soundbytez
47,174466,http://creativecommons.org/licenses/by/3.0/,lion roar.wav,Input/Sounds/174466_3249786-hq.ogg,"['roar', 'Lion', 'animal']",yottasounds
48,415879,http://creativecommons.org/licenses/by/3.0/,Alien Lion 2.0.wav,Input/Sounds/415879_4005559-hq.ogg,"['creature', 'serum', 'synth', 'sound-effect', 'sound-design', 'lion', 'beast', 'roar', 'animals', 'alien']",erlipresidente
49,97382,http://creativecommons.org/licenses/by/3.0/,lion_distant.wav,Input/Sounds/97382_1578278-hq.ogg,"['africa', 'birds', 'distant', 'field-recording', 'lion', 'roaring', 'scream', 'walking', 'zoo']",soundbytez
50,232289,http://creativecommons.org/licenses/by/3.0/,Zombie (Or Monster Or Lion) Roar,Input/Sounds/232289_2460186-hq.ogg,"['undead', 'growl', 'death', 'monster', 'roar', 'horror', 'zombie', 'lion', 'animal']",zglar
51,270383,http://creativecommons.org/publicdomain/zero/1.0/,lion_growls.wav,Input/Sounds/270383_1808829-hq.ogg,"['beast', 'growling', 'growl', 'lion']",stratcat322
52,115362,http://creativecommons.org/licenses/sampling+/1.0/,SFXsource-mountain-lion-wild-animal-sound-effect.mp3,Input/Sounds/115362_1927446-hq.ogg,"['animal', 'lion', 'mountain', 'wild']",SFXsource.com
53,30427,http://creativecommons.org/licenses/by/3.0/,horror-scream.wav,Input/Sounds/30427_118241-hq.ogg,"['horror', 'lion', 'processing', 'scream', 'shout']",Erdie
54,171948,http://creativecommons.org/publicdomain/zero/1.0/,BigCateLionTigerMeow.wav,Input/Sounds/171948_3206712-hq.ogg,"['large', 'panther', 'meow', 'kitty', 'mew', 'tiger', 'cougar', 'lion', 'low', 'kitten', 'big-cat']",RebekahDay
55,115602,http://creativecommons.org/licenses/by-nc/3.0/,Before-after remix of 115362__SFXsource_mountain-lion.flac,Input/Sounds/115602_1015240-hq.ogg,"['115362', 'animal', 'big-cat', 'cat', 'cub', 'growl', 'lion', 'loin', 'mountain', 'roar', 'vocalisation', 'vocalization']",Timbre
56,398254,http://creativecommons.org/licenses/by/3.0/,Low and Short Monster Growl or Purr,Input/Sounds/398254_7062176-hq.ogg,"['Creature', 'FX', 'Large', 'Sub-Harmonics', 'Animal', 'SciFi', 'Heavy', 'Snarl', 'Lion', 'Fantasy', 'Tiger', 'Breathing', 'Roar', 'SFX', 'Monster', 'Short', 'Growl', 'Purr', 'Foley']",djlprojects
57,35139,http://creativecommons.org/licenses/by/3.0/,Lionne-Buvant+amb oiseaux.aif,Input/Sounds/35139_328279-hq.ogg,"['africa', 'lion', 'lions', 'tanzania']",roubignolle
58,394830,http://creativecommons.org/licenses/by/3.0/,Single_Roar.wav,Input/Sounds/394830_5675578-hq.ogg,"['creature', 'bigmonster', 'animal', 'lion', 'tiger', 'roar', 'scary', 'monster', 'growl', 'beast']",columbia23
59,199523,http://creativecommons.org/licenses/by/3.0/,Leoncitos.wav,Input/Sounds/199523_3632969-hq.ogg,"['animals', 'field-recording', 'ZooSonor', 'roar', 'Barcelona', 'Zoo', 'lion', 'children', 'Spain']",FestaCienciaTecnologia
